-33,-101,-33
-35,-101,-33
-32,-102,-32
-35,-100,-32
-32,-101,-32
-33,-101,-33
-35,-101,-32
-33,-102,-33
-33,-101,-32
-33,-102,-33
-33,-99,-33
-32,-101,-33
-33,-101,-33
-33,-102,-32
-33,-101,-33
-33,-100,-33
-33,-101,-33
-35,-101,-33
-33,-101,-33
-33,-101,-32
-32,-101,-33
-32,-101,-32
-33,-100,-32
-33,-101,-32
-30,-100,-30
-30,-100,-29
-30,-100,-29
-30,-99,-30
-32,-99,-30
-32,-100,-30
-33,-101,-32
-33,-101,-33
-32,-100,-32
-33,-101,-33
-32,-100,-33
-33,-100,-33
-30,-100,-30
-32,-100,-30
-32,-99,-30
-30,-99,-30
-33,-101,-33
-33,-101,-32
-33,-101,-33
-33,-102,-32
-33,-101,-32
-33,-101,-33
-35,-101,-33
-33,-100,-32
-35,-102,-32
-33,-101,-32
-33,-101,-32
-33,-101,-32
-33,-101,-32
-33,-101,-33
-33,-101,-32
-32,-100,-32
-32,-100,-33
-33,-101,-33
-35,-101,-33
-33,-102,-32
-33,-100,-32
-33,-101,-32
-33,-101,-33
-33,-101,-32
-33,-101,-33
-33,-100,-32
-35,-101,-33
-35,-101,-33
-32,-101,-32
-35,-102,-33
-33,-101,-33
-33,-100,-33
-33,-101,-33
-33,-101,-33
-29,-99,-29
-30,-99,-29
-30,-99,-30
-32,-99,-30
-32,-93,-30
-35,-101,-30
-30,-105,-28
-36,-98,-35
-35,-105,-33
-32,-118,-52
-42,-98,-35
-17,-102,-26
-44,-108,-46
-33,-104,-30
-33,-104,-36
-30,-96,-30
-26,-104,-29
-26,-95,-26
-42,-149,-83
-46,-100,-29
-36,-113,-30
-29,-104,-49
-30,-105,-30
-38,-107,-32
-29,-67,-17
-35,-113,-44
-26,-98,-25
-39,-101,-35
-33,-101,-32
-35,-90,-22
-41,-98,-28
-35,-114,-48
-25,-98,-38
-49,-117,-41
-26,-111,-42
-35,-90,-32
-35,-104,-25
-30,-100,-44
-46,-92,-16
-16,-107,-35
-42,-95,-42
-38,-113,-30
-17,-95,-33
-58,-105,-35
-10,-111,-33
-55,-79,-19
-19,-108,-29
-45,-96,-42
-28,-111,-33
-33,-99,-29
-22,-87,-17
-39,-92,-26
-32,-93,-28
-19,-105,-30
-45,-95,-26
-25,-105,-32
-33,-121,-54
-36,-98,-44
-28,-96,-23
-28,-93,-9
-48,-105,-29
-36,-123,-54
-22,-98,-45
-6,-113,-60
-58,-99,-26
-32,-93,-29
-14,-99,-30
-67,-86,-4
-22,-87,-25
-1,-113,-51
-42,-90,-17
-38,-100,-42
-16,-108,-51
-41,-136,-65
-49,-71,10
-30,-123,-48
0,-87,-17
-44,-73,-13
-49,-90,-28
-28,-108,-29
-23,-117,-42
-42,-104,-29
-42,-86,-17
-14,-116,-55
-26,-127,-51
-48,-70,10
-52,-108,-33
-23,-107,-42
-28,-101,-33
-33,-105,-38
-38,-71,8
-41,-87,-20
-38,-98,-25
-20,-116,-41
-26,-98,-26
-32,-68,-6
-36,-100,-26
-36,-113,-36
-35,-63,15
-39,-92,-23
-32,-118,-38
-33,-93,-28
-33,-100,-36
-30,-114,-45
-28,-102,-32
-36,-95,-28
-51,-93,-25
-36,-82,-1
-20,-116,-46
-13,-86,-20
-38,-64,-10
-39,-102,-28
-22,-117,-39
-44,-95,-33
-39,-93,-28
-29,-105,-33
-11,-52,12
-49,-104,-32
-30,-100,-25
-38,-101,-36
-28,-102,-36
-35,-121,-68
-51,-121,-36
-30,-92,0
-22,-110,-46
-17,-45,16
-57,-168,-105
-60,-124,-51
-17,-133,-49
-26,-108,-36
-39,-146,-83
-52,-80,-13
-26,-143,-54
-49,-107,-51
-29,-101,-28
-36,-100,-33
-35,-101,-32
-25,-98,-29
-44,-96,-28
-36,-113,-23
-20,-98,-39
-46,-76,-19
-28,-113,-19
-20,-90,-38
-52,-98,-28
-22,-108,-22
-42,-100,-38
-29,-107,-36
-23,-96,-33
-38,-90,-10
-22,-96,-32
-46,-73,-4
-29,-116,-28
-49,-130,-39
-41,-90,-17
-30,-90,-23
-10,-89,-45
-29,-96,-33
-14,-87,-44
-26,-99,-35
-33,-95,-38
-23,-120,-42
-48,-95,-30
-26,-117,-41
-46,-102,-26
-41,-102,-26
-16,-93,-17
-33,-104,-45
-26,-100,-30
-38,-100,-35
-33,-101,-29
-35,-100,-35
-32,-102,-32
-25,-95,-28
-35,-48,21
-42,-105,-36
-25,-104,-33
-36,-86,-16
-23,-114,-30
-41,-99,-32
-19,-101,-36
-26,-92,-44
-29,-100,-33
-35,-102,-32
-33,-101,-32
-36,-102,-30
-32,-80,-7
-20,-113,-39
-45,-107,-26
-26,-87,-23
-42,-124,-55
-29,-89,-30
-26,-98,-55
-42,-105,-25
-28,-101,-29
-45,-104,-36
-22,-98,-30
-30,-101,-32
-33,-99,-32
-30,-100,-28
-35,-100,-32
-32,-100,-30
-32,-101,-32
-33,-100,-33
-33,-101,-33
-35,-101,-32
-35,-101,-33
-33,-100,-32
-35,-101,-33
-32,-101,-33
-33,-101,-32
-32,-101,-33
-35,-102,-33
-35,-102,-33
-33,-101,-33
-33,-101,-32
-35,-101,-32
-33,-101,-33
-35,-101,-32
-33,-101,-32
-35,-100,-32
-33,-101,-32
-35,-101,-33
-33,-101,-32
-33,-101,-32
-33,-101,-32
-33,-101,-32
-33,-101,-32
-33,-100,-32
-33,-101,-32
-35,-102,-33
-35,-100,-32
-35,-102,-33
-33,-101,-32
-35,-101,-33
-33,-101,-32
-33,-101,-33
-33,-101,-33
-32,-102,-32
-33,-101,-32
-35,-102,-32
-33,-101,-32
-33,-102,-33
-33,-102,-35
-33,-100,-32
-29,-98,-29
-29,-98,-28
-30,-99,-30
-29,-98,-28
-32,-100,-30
-30,-99,-30
-33,-102,-33
-35,-101,-32
-33,-101,-32
-33,-101,-33
-35,-102,-33
-35,-100,-33
-33,-101,-33
-35,-101,-32
-33,-100,-32
-35,-101,-33
-33,-101,-33
-33,-100,-32
-35,-101,-33
-33,-101,-32
-30,-99,-29
-30,-99,-29
-32,-100,-30
-32,-100,-30
-33,-101,-33
-35,-102,-32
-33,-102,-33
-33,-101,-33
-35,-101,-33
-33,-101,-32
-33,-101,-33
-33,-101,-32
-33,-102,-33
-33,-101,-32
-35,-101,-32
-35,-101,-32
-33,-101,-32
-35,-101,-33
-33,-101,-33
-33,-101,-33
-35,-102,-35
-35,-102,-33
-33,-101,-33
-32,-100,-30
-32,-100,-32
-33,-101,-33
-35,-101,-33
-33,-101,-32
-33,-101,-33
-33,-102,-33
-29,-98,-29
-29,-99,-29
-32,-100,-30
-32,-99,-32
-32,-100,-32
-32,-100,-32
-33,-101,-32
-33,-101,-33
-33,-101,-32
-35,-101,-32
-33,-101,-32
-33,-101,-32
-33,-101,-33
-35,-102,-35
-33,-101,-33
-35,-102,-32
-35,-102,-33
-33,-101,-32
-33,-101,-32
-33,-101,-32
-35,-101,-33
-32,-100,-32
-32,-100,-30
-35,-101,-33
-33,-101,-33
-33,-101,-32
-33,-101,-32
